"model_name","prompt","generated_text","distinct_1","distinct_2","distinct_3","repetition_rate"
"gpt2_small","Once upon a time,","Once upon a time , there was an ordinary bear . He loved to play in the forest all day long . One day he saw something very quiet and decided that it was for him to be careful not to touch the trees ! The bear wanted to pick them up but he knew","0.8363636363636363","1","1","0"
"gpt2_small","In a land far away,","In a land far away , there was nothing to take a break . The brave little girl had never been so careless and wanted to do anything - it was her classroom but she didn ' t know what to work . She asked the teacher why she hadn ' t said she would come","0.8392857142857143","0.9818181818181818","1","0"
"gpt2_small","The queen ruled over her kingdom with","The queen rul ed over her kingdom with a big smile on her face . She was very happy to hear this new life . After she finished , the queen stayed there for a long time and the queen looked out the bookcase in town next morning the princess ' s heart was so warm that she","0.8275862068965517","0.9824561403508771","1","0"
"gpt2_small","A mysterious shadow appeared when","A mysterious shadow appeared when it was a little girl named Lily . She loved to feel the sky and her friends watched her mom to follow her house . One day , she saw a bright light that made her favorite wish - she had never seen anything like it before . It was","0.8181818181818182","1","1","0"
"gpt2_small","Technology has changed the way children","Te ch no log y has changed the way children , and they would have to go on a walk . The other children were very happy with their own adventure in the woods . Every day they went to the lake field when John saw the big waves coming from the water . He wanted to see the fish","0.8166666666666667","1","1","0"
"gpt2_small","The future will be bright when","The future will be bright when you stay safe ."" Lily was happy and thanked the moral of the story : always ask for help . Once upon a time , there was a little girl named Lily . She had a big sister who loved to play outside in her backyard . One day ,","0.8571428571428571","1","1","0"
"gpt2_medium","Once upon a time,","Once upon a time , , there bunny day in a bunny . The little girl was very proud of he had to take her new . He smiled to keep c ing the ground and saw she ran into her family left he was happy to play with joy . Tom ' s mom","0.8181818181818182","1","1","0"
"gpt2_medium","In a land far away,","In a land far away , so he was a little was but that it . The little girl named Sam who felt very happy to be a t wait to share her mom . One day , "" No , Lily went at to help you ' s go up , Lily asked Lucy replied","0.8035714285714286","0.9818181818181818","1","0"
"gpt2_medium","The queen ruled over her kingdom with","The queen ru led over her king d om with a po st en c u p when they were very happy to the so excited . Once time : "" Tim said , I are so much friend They liked them it wasn a little re important to see sure that it was a th y s who loved","0.9166666666666666","1","1","0"
"gpt2_medium","A mysterious shadow appeared when","A mysterious s had ow appeared when "" I ' t you a nice ."" The bear is ving . It is she said , M can can help it and smiled to the p better ! We will be ready to have careful . He could help . They decided to carry up each other end","0.8771929824561403","1","1","0"
"gpt2_medium","Technology has changed the way children","T e ch no lo gy ha s c han ged the way ch il dre n . She knew that to take them her mom was very excited to the little friend , she would feel much so he could play . He came away , she saw a magic girl and said Jane had been I had never both opened by it every day ,","0.8805970149253731","0.9848484848484849","1","0"
"gpt2_medium","The future will be bright when","The f ut ure will be bright when he asked him not worry , but then "" I may re you and m a with it ?"" A le al t !"" It ve ing pa ar s for that she said . said : "" Yes , you ۪ s many li ved up to the boy","0.9137931034482759","1","1","0"
